num	id	nivell	moviment	lot	rev	descripcio
001	q34	2	identitat-com-a-figura	1	0	mosaic de (x+y)²
002	q14	2	redueix-al-conegut	1	0	altura des de la punta
003	q15	1	audita-la-demostracio	1	0	tres posicions: mateixa base i altura
004	q15	3	audita-la-demostracio	1	0	punta fora: un de gran menys un de petit
005	q41	2	informacio-no-usada	1	0	el radi que faltava
006	q09	2	separa-i-reorienta	1	0	les tres peces igual orientades
007	q08c	2	contraexemple	1	0	triangles sí / rectangles no
008	q16	2	linia-no-enunciada	1	0	la diagonal del quadrilàter
009	q22	2	dues-maneres	1	0	els dos centres i el triangle rectangle
010	q36	2	simetria-i-demostra	1	0	perímetre fix: els vèrtexs sobre una recta
011	q96	2	reflexio	1	0	A' i el camí recte
012	q25	2	un-altre-pla	1	0	diagonal de la cara i de la caixa
013	q95	2	definicio-i-absurd	1	0	P' destapa la contradicció
014	q13	1	redueix-al-conegut	2	0	ceviana al punt mitjà: mateixa base, mateixa alçada
015	q42	2	distingeix-casos	2	0	diàmetre pel punt P, com a q41
016	q86	2	contraexemple	2	0	dos triangles, mateixos dos costats i angle, C i C'
017	q23	2	dues-maneres	2	0	cercle tallat pels diàmetres, r=R(√2-1) com a q22
018	q10	1	simetria-i-demostra	2	0	el rombe doblegat per una diagonal
019	q97	2	reflexio	2	0	dues reflexions, A' i B', camí recte
020	q98	1	construeix-per-definir	2	0	els dos punxons i el fil tibant
021	q45	2	desenrotlla	2	0	el cilindre i el seu rectangle desenrotllat
022	q26	1	redueix-al-conegut	3	0	alçada del triangle equilàter, dos 30-60-90
023	q28	1	redueix-al-conegut	3	0	base i alçada, àrea del triangle equilàter
024	q44	3	dues-maneres	3	0	tres cercles tangents a una recta, r combina R1 i R2
025	q46	2	dilatacio	3	0	cercle estirat en el·lipse, a i b
026	q47	2	un-altre-pla	3	0	octàedre dels centres de cara del cub
027	q49	2	simetria-i-demostra	3	0	tetràedre, les quatre medianes es troben al centre
028	q52	2	un-altre-pla	3	1	tall hexagonal del cub, perpendicular a la diagonal
029	q56	2	un-altre-pla	3	0	tetràedre inscrit per les diagonals de cara
030	q51	2	desenrotlla	3	0	con desenrotllat en sector circular
031	q53	3	contraexemple	3	0	cilindre recte vs oblic, mateix tall diferent superfície
